timestamp,user_command,action,args,decision,success,message,telemetry
2026-07-02T11:28:29.025538+00:00,"Durum nedir, batarya ne kadar?",get_telemetry,{},approved,True,Telemetri okuma güvenli.,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 0.0, ""mode"": ""IDLE"", ""battery"": 100.0, ""in_air"": false, ""home_x"": 0.0, ""home_y"": 0.0}"
2026-07-02T11:28:29.032905+00:00,Kalkış yap,clarify,{},clarify,False,Kalkış komutu için hedef irtifa belirtilmedi. Lütfen kaç metreye kalkış yapılacağını belirtin (ör. '20 metreye kalk').,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 0.0, ""mode"": ""IDLE"", ""battery"": 100.0, ""in_air"": false, ""home_x"": 0.0, ""home_y"": 0.0}"
2026-07-02T11:28:29.043014+00:00,500 metreye kalk,takeoff,"{""altitude"": 500.0}",rejected,False,REDDEDİLDİ: İstenen irtifa (500.0 m) maksimum güvenli sınırı (120.0 m) aşıyor. Komut reddedildi.,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 0.0, ""mode"": ""IDLE"", ""battery"": 100.0, ""in_air"": false, ""home_x"": 0.0, ""home_y"": 0.0}"
2026-07-02T11:28:29.048388+00:00,20 metreye kalk,takeoff,"{""altitude"": 20.0}",approved,True,20.0 m irtifaya güvenli kalkış onaylandı.,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 20.0, ""mode"": ""HOVER"", ""battery"": 95.0, ""in_air"": true, ""home_x"": 0.0, ""home_y"": 0.0}"
2026-07-02T11:28:29.052626+00:00,30 metreye tekrar kalk,takeoff,"{""altitude"": 30.0}",rejected,False,REDDEDİLDİ: Drone zaten havada; tekrar kalkış reddedildi.,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 20.0, ""mode"": ""HOVER"", ""battery"": 95.0, ""in_air"": true, ""home_x"": 0.0, ""home_y"": 0.0}"
2026-07-02T11:28:29.056933+00:00,Şu an nerede ve hangi moddasın?,get_telemetry,{},approved,True,Telemetri okuma güvenli.,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 20.0, ""mode"": ""HOVER"", ""battery"": 95.0, ""in_air"": true, ""home_x"": 0.0, ""home_y"": 0.0}"
2026-07-02T11:28:29.062176+00:00,return to home please,return_to_home,{},approved,True,Eve dönüş (RTH) onaylandı.,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 0.0, ""mode"": ""IDLE"", ""battery"": 90.0, ""in_air"": false, ""home_x"": 0.0, ""home_y"": 0.0}"
2026-07-02T11:28:29.094602+00:00,iniş yap,land,{},rejected,False,REDDEDİLDİ: Drone zaten yerde; iniş komutu gereksiz.,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 0.0, ""mode"": ""IDLE"", ""battery"": 90.0, ""in_air"": false, ""home_x"": 0.0, ""home_y"": 0.0}"
2026-07-02T11:28:29.132683+00:00,15 metreye çık,takeoff,"{""altitude"": 15.0}",approved,True,15.0 m irtifaya güvenli kalkış onaylandı.,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 15.0, ""mode"": ""HOVER"", ""battery"": 85.0, ""in_air"": true, ""home_x"": 0.0, ""home_y"": 0.0}"
2026-07-02T11:28:29.171274+00:00,land,land,{},approved,True,İniş onaylandı.,"{""x"": 0.0, ""y"": 0.0, ""altitude"": 0.0, ""mode"": ""IDLE"", ""battery"": 82.0, ""in_air"": false, ""home_x"": 0.0, ""home_y"": 0.0}"
